username,comment_text,sentiment_score,sentiment_category
匿名用户,系统流畅，比我的旧机Reno7好用多了，电池续航还可以，拍照非常棒，国补期间买的价格很合吾心意。唯一不解的是：充电器没有与oppo相关文字或字母，用得有点不够踏实。顺风必须点赞，乡镇第二天收货。,0.9816517719900135,积极
匿名用户,43天后追评：防尘防水很好，脏了可以放水桶里洗一洗；轻度玩手机电池一天一充到两天一充；听说电池最好不要充满，也不知道是不是，总之差不多充满或者一满就拔充电器。,0.01285787401649563,消极
匿名用户,目前使用还行，客服不太行，但他家售后很好，问题都解决了,0.03745558787732561,消极
匿名用户,还行吧，电其实用起来挺快的，我不打游戏。只偶尔刷下短视频或者听小说。半天电就下去一半了。,0.392744495795852,消极
匿名用户,物超所值，享受国补，实在太划算了。音质，显示器都没的说，极速闪充，18%到100%要40分钟，也没卡顿。不错！,0.9056931857798433,积极
匿名用户,📱这款手机的性能非常不错，用了快一周，依然很流畅！像素很高，拍出的照片非常清晰，整体体验非常满意。👍,0.9999982798656603,积极
匿名用户,国补后比抖音旗舰店还贵。国补真好呀，薅国家羊毛，,0.33813099142127667,消极
匿名用户,使用了两天效果不错，物流很快，价格合理，全5分。,0.9402037839556074,积极
匿名用户,"手机功能流畅,手感好，机器耐用性待使用后再进一步评价",0.9885630470991807,积极
匿名用户,一直用着OPPO手机，用着放心,0.7482362933946742,积极
匿名用户,新手机配上手机壳高大上，手机壳入手感好，大小刚好。商家还送J水凝膜服务周到，还有贴膜教程，我都会贴了。,0.9866237796096118,积极
匿名用户,款式很大方，质量非常好，价钱也很合理,0.9969570757807181,积极
匿名用户,还不错，就是华为换过来操作不一样有点不习惯,0.27701904644974584,消极
匿名用户,给妈妈买的 发货快 绝对正品 我妈妈很喜欢,0.9992603020220772,积极
匿名用户,手机很轻盈也很好看，但是拍照像素不是很好,0.9432232438516756,积极
匿名用户,全家都是用oppo，系统稳定！不错！,0.869247262318294,积极
匿名用户,帮邻居夫妻俩买的，听他们说用着挺不错的。,0.9965272884194925,积极
匿名用户,拍照好！,0.7060665196822543,积极
匿名用户,感觉很好，正品,0.9542805780643991,积极
匿名用户,手机很漂亮，很好用，拍照很好看 进游戏速度也很快，可以带得动逆水寒,0.9998595881311917,积极
匿名用户,非常的漂亮,0.8996655518394647,积极
